Event	ID	Name			Wwise Object Path	Notes
	40152227	Muerte_enemigos			\Default Work Unit\Eventos_Específicos\Muerte_enemigos	
	193658694	Ataque_boss			\Default Work Unit\Eventos_Específicos\Ataque_boss	
	549173535	Pausa_ON			\Default Work Unit\Eventos_Generales\Pausa_ON	
	581321845	Granada_cambio			\Default Work Unit\Eventos_Específicos\Granada_cambio	
	803525678	Mov_hamburguesa			\Default Work Unit\Eventos_Específicos\Mov_hamburguesa	
	1203400786	Restart			\Default Work Unit\Eventos_Generales\Restart	
	1323470984	Voz_enemigos			\Default Work Unit\Eventos_Específicos\Voz_enemigos	
	1508312369	popupalert			\Default Work Unit\Eventos_Específicos\popupalert	
	1567401025	Damage_hamburguesa			\Default Work Unit\Eventos_Específicos\Damage_hamburguesa	
	1604160490	Comienzo_oleada			\Default Work Unit\Eventos_Específicos\Comienzo_oleada	
	1875703502	Rocola_Stop			\Default Work Unit\Eventos_Específicos\Rocola_Stop	
	1942692385	Dash			\Default Work Unit\Eventos_Específicos\Dash	
	2241940529	Mov_enemigos			\Default Work Unit\Eventos_Específicos\Mov_enemigos	
	2244913564	Damage_enemigos			\Default Work Unit\Eventos_Específicos\Damage_enemigos	
	2249769530	UI_Click			\Default Work Unit\Eventos_Generales\UI_Click	
	2349829932	Muerte_hamburguesa			\Default Work Unit\Eventos_Específicos\Muerte_hamburguesa	
	2433235219	Perder			\Default Work Unit\Eventos_Generales\Perder	
	2567272520	lanzallamas_aji			\Default Work Unit\Eventos_Específicos\lanzallamas_aji	
	2607556080	Menu			\Default Work Unit\Eventos_Generales\Menu	
	2655057481	Espada_cambio			\Default Work Unit\Eventos_Específicos\Espada_cambio	
	2658298240	Inicio			\Default Work Unit\Eventos_Generales\Inicio	
	2659475283	Pausa_OFF			\Default Work Unit\Eventos_Generales\Pausa_OFF	
	2845818466	Mch_Gun_cambio			\Default Work Unit\Eventos_Específicos\Mch_Gun_cambio	
	3121871613	Voz_hamburguesa			\Default Work Unit\Eventos_Específicos\Voz_hamburguesa	
	3311887745	Espada_impacto			\Default Work Unit\Eventos_Específicos\Espada_impacto	
	3415832814	Rocola_Start			\Default Work Unit\Eventos_Específicos\Rocola_Start	
	3425974687	Inicio_gameplay			\Default Work Unit\Eventos_Generales\Inicio_gameplay	
	3436479489	Impacto_objetos			\Default Work Unit\Eventos_Específicos\Impacto_objetos	
	3531178621	Granada_explosion			\Default Work Unit\Eventos_Específicos\Granada_explosion	
	3602564457	Mch_Gun_disparo			\Default Work Unit\Eventos_Específicos\Mch_Gun_disparo	
	3971714355	Mov_boss			\Default Work Unit\Eventos_Específicos\Mov_boss	
	4023256677	Muerte_boss			\Default Work Unit\Eventos_Específicos\Muerte_boss	
	4059334902	Damage_boss			\Default Work Unit\Eventos_Específicos\Damage_boss	
	4082639641	Curar_vida			\Default Work Unit\Eventos_Específicos\Curar_vida	
	4098331468	Ataque_enemigos			\Default Work Unit\Eventos_Específicos\Ataque_enemigos	
	4206091493	Rocola_damage			\Default Work Unit\Eventos_Específicos\Rocola_damage	
	4243659193	Fantasmas_enemigos			\Default Work Unit\Eventos_Específicos\Fantasmas_enemigos	
	4247065354	Voz_boss			\Default Work Unit\Eventos_Específicos\Voz_boss	

State Group	ID	Name			Wwise Object Path	Notes
	89505537	Gameplay			\Default Work Unit\Gameplay	
	2615536764	Dificultad			\Default Work Unit\Dificultad	

State	ID	Name	State Group			Notes
	0	None	Gameplay			
	675784008	Batalla	Gameplay			
	1560169506	Boss	Gameplay			
	2902310089	Exploracion	Gameplay			
	0	None	Dificultad			
	1160234136	Normal	Dificultad			
	2890145494	Facil	Dificultad			
	2989595257	Dificil	Dificultad			

Custom State	ID	Name	State Group	Owner		Notes
	397822914	Batalla	Gameplay	\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_music\amb_music_master		
	617673612	Exploracion	Gameplay	\Interactive Music Hierarchy\Default Work Unit\gameplay_dificultad		
	713549842	Boss	Gameplay	\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_music\amb_music_master		
	994235800	Boss	Gameplay	\Interactive Music Hierarchy\Default Work Unit\gameplay_dificultad		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2679493820	vida_hamburguesa			\Default Work Unit\vida_hamburguesa	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4839449	Espresso Machine 02_02	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Espresso Machine 02_E9FAED8E.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_music\amb_music_master\expresso\Expresso\Espresso Machine 02_02		80346
	30502215	verduras aplastadas_07	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\verduras aplastadas 2_36DF168B.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_enemigo\muerte_enemigo\verduras aplastadas_07		69754
	48888578	ataque_02	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Fast Action Swish_HW 05_54843DC5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_hamburguesa\espada_ataque\ataque_02		5453
	60609718	click 6	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\click 6_305F6CDE.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\UI\click 6		3272
	107383592	salpicada_04	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\salpicada 4_20F49546.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_boss\damage_boss\salpicada_04		5582
	113659719	Juicy Crack and Break_VM 01	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Juicy Crack and Break_VM 01_06709C30.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_enemigo\muerte_enemigo\Juicy Crack and Break_VM 01		32700
	123317364	Vegetable Carnage, Tomato, Squish, Slow, Soft Strength, Wet, Mono	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Vegetable Carnage, Tomato, Squish, Slow, Soft Strength, Wet, Mono_881AD750.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_enemigo\muerte_enemigo\Vegetable Carnage, Tomato, Squish, Slow, Soft Strength, Wet, Mono		41020
	161873853	amb_restaurant	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\amb_stems_RA_40_Restaurant_Bar_Night_Fridges_Empty_Room Tone_Neumann KM184 ORTF_1A03E2F2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_music\amb_music_master\amb_music\amb_restaurant		208559
	173586619	salpicada_06	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\salpicada 5_E86678C0.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_boss\damage_boss\salpicada_06		9082
	183735320	amb_fan	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\amb_stems_roomtone_overhead_fan_002_BB236650.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_music\amb_music_master\amb_music\amb_fan		202187
	188314216	paso_01	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\salpicada 4_E876BF2F.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\sfx_hamburguesa\mov_hamburguesa\paso_01		5136
	192027580	fantasma_01	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Luciernaga_75741989.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\UI\fantasmas\fantasma_01		108173
	208708728	comienzo_oleada	E:\Arturia\Image Campus\FAST FOOD NIGHTMARE\Fast Food Nightmares v0.10a\Fast Food Nightmare Event List\.cache\Windows\SFX\Bombo_Corte_8205A246.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\UI\comienzo_oleada		30375
